* Measurement data measured by REW V5.40 beta 55
* Source: C:\Users\golem\Downloads\Uploaded Golem HRTF (B_ 1dB, T_ -10dB) Target EQ Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 23, 2025 8:38:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\golem\Downloads\Uploaded Golem HRTF (B_ 1dB, T_ -10dB) Target EQ Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: Uploaded Golem HRTF (B_ 1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
155.445111, 82.008
156.571530, 82.009
157.706112, 82.011
158.848915, 82.012
160.000000, 82.014
161.159426, 82.015
162.327254, 82.017
163.503544, 82.018
164.688358, 82.020
165.881758, 82.022
167.083805, 82.024
168.294563, 82.026
169.514095, 82.028
170.742464, 82.030
171.979734, 82.032
173.225970, 82.034
174.481237, 82.036
175.745600, 82.038
177.019125, 82.041
178.301879, 82.043
179.593928, 82.046
180.895339, 82.048
182.206182, 82.051
183.526523, 82.053
184.856431, 82.056
186.195977, 82.059
187.545230, 82.062
188.904260, 82.064
190.273138, 82.067
191.651936, 82.070
193.040725, 82.073
194.439578, 82.076
195.848567, 82.079
197.267766, 82.083
198.697250, 82.086
200.137092, 82.089
201.587368, 82.092
203.048153, 82.096
204.519524, 82.099
206.001557, 82.103
207.494329, 82.106
208.997918, 82.110
210.512403, 82.113
212.037863, 82.117
213.574377, 82.121
215.122025, 82.124
216.680888, 82.128
218.251047, 82.132
219.832584, 82.136
221.425581, 82.140
223.030122, 82.144
224.646290, 82.148
226.274170, 82.152
227.913846, 82.157
229.565404, 82.161
231.228929, 82.166
232.904509, 82.170
234.592231, 82.175
236.292183, 82.179
238.004454, 82.184
239.729132, 82.189
241.466308, 82.194
243.216073, 82.199
244.978517, 82.204
246.753732, 82.209
248.541811, 82.215
250.342848, 82.220
252.156935, 82.225
253.984168, 82.231
255.824642, 82.237
257.678453, 82.243
259.545697, 82.249
261.426473, 82.255
263.320877, 82.261
265.229008, 82.267
267.150967, 82.274
269.086853, 82.280
271.036767, 82.287
273.000811, 82.294
274.979088, 82.301
276.971700, 82.308
278.978751, 82.315
281.000346, 82.322
283.036590, 82.330
285.087590, 82.337
287.153452, 82.345
289.234284, 82.353
291.330195, 82.361
293.441294, 82.369
295.567690, 82.377
297.709496, 82.385
299.866821, 82.394
302.039780, 82.402
304.228485, 82.411
306.433050, 82.419
308.653590, 82.428
310.890221, 82.437
313.143060, 82.446
315.412224, 82.455
317.697831, 82.464
320.000000, 82.473
322.318852, 82.483
324.654507, 82.492
327.007088, 82.501
329.376716, 82.511
331.763515, 82.520
334.167610, 82.530
336.589127, 82.539
339.028190, 82.548
341.484928, 82.558
343.959469, 82.567
346.451941, 82.577
348.962474, 82.586
351.491200, 82.595
354.038251, 82.604
356.603758, 82.613
359.187855, 82.622
361.790679, 82.631
364.412363, 82.640
367.053045, 82.648
369.712863, 82.656
372.391955, 82.665
375.090460, 82.673
377.808521, 82.681
380.546277, 82.688
383.303872, 82.696
386.081450, 82.703
388.879155, 82.710
391.697134, 82.717
394.535533, 82.724
397.394500, 82.731
400.274184, 82.737
403.174736, 82.743
406.096306, 82.749
409.039048, 82.755
412.003113, 82.761
414.988657, 82.767
417.995836, 82.772
421.024807, 82.777
424.075726, 82.782
427.148753, 82.788
430.244049, 82.793
433.361775, 82.798
436.502093, 82.803
439.665167, 82.808
442.851162, 82.812
446.060244, 82.817
449.292581, 82.822
452.548340, 82.828
455.827692, 82.833
459.130807, 82.838
462.457858, 82.843
465.809019, 82.849
469.184463, 82.855
472.584367, 82.861
476.008908, 82.867
479.458265, 82.873
482.932617, 82.880
486.432146, 82.886
489.957033, 82.894
493.507464, 82.901
497.083623, 82.908
500.685695, 82.916
504.313870, 82.924
507.968337, 82.932
511.649285, 82.941
515.356906, 82.950
519.091395, 82.958
522.852945, 82.968
526.641753, 82.977
530.458016, 82.986
534.301934, 82.996
538.173706, 83.005
542.073534, 83.015
546.001623, 83.025
549.958175, 83.035
553.943399, 83.044
557.957501, 83.054
562.000691, 83.064
566.073180, 83.073
570.175180, 83.082
574.306904, 83.091
578.468569, 83.100
582.660390, 83.109
586.882588, 83.118
591.135381, 83.126
595.418991, 83.133
599.733643, 83.141
604.079560, 83.148
608.456970, 83.154
612.866100, 83.161
617.307180, 83.166
621.780442, 83.172
626.286120, 83.176
630.824447, 83.181
635.395661, 83.184
640.000000, 83.188
644.637704, 83.190
649.309014, 83.193
654.014175, 83.194
658.753431, 83.195
663.527030, 83.196
668.335221, 83.196
673.178253, 83.196
678.056380, 83.195
682.969856, 83.194
687.918938, 83.192
692.903882, 83.190
697.924949, 83.187
702.982401, 83.184
708.076501, 83.181
713.207515, 83.177
718.375711, 83.173
723.581357, 83.168
728.824726, 83.163
734.106091, 83.158
739.425726, 83.153
744.783910, 83.147
750.180921, 83.142
755.617041, 83.136
761.092554, 83.130
766.607744, 83.124
772.162900, 83.117
777.758310, 83.111
783.394268, 83.105
789.071066, 83.098
794.789000, 83.092
800.548368, 83.086
806.349472, 83.079
812.192613, 83.073
818.078095, 83.067
824.006226, 83.061
829.977315, 83.055
835.991673, 83.049
842.049613, 83.044
848.151452, 83.038
854.297507, 83.033
860.488099, 83.028
866.723550, 83.024
873.004186, 83.019
879.330334, 83.015
885.702324, 83.011
892.120489, 83.008
898.585161, 83.004
905.096680, 83.001
911.655384, 82.999
918.261614, 82.996
924.915716, 82.994
931.618037, 82.992
938.368925, 82.991
945.168733, 82.989
952.017816, 82.988
958.916529, 82.988
965.865234, 82.987
972.864291, 82.987
979.914067, 82.987
987.014928, 82.988
994.167245, 82.989
1001.371391, 82.990
1008.627741, 82.991
1015.936673, 82.993
1023.298569, 82.995
1030.713812, 82.997
1038.182790, 82.999
1045.705890, 83.002
1053.283506, 83.005
1060.916032, 83.008
1068.603867, 83.012
1076.347412, 83.015
1084.147069, 83.019
1092.003245, 83.023
1099.916351, 83.028
1107.886798, 83.032
1115.915003, 83.037
1124.001383, 83.042
1132.146360, 83.047
1140.350359, 83.053
1148.613808, 83.058
1156.937137, 83.064
1165.320781, 83.070
1173.765175, 83.076
1182.270762, 83.082
1190.837983, 83.088
1199.467286, 83.094
1208.159120, 83.101
1216.913939, 83.107
1225.732199, 83.113
1234.614360, 83.120
1243.560885, 83.126
1252.572239, 83.132
1261.648894, 83.138
1270.791322, 83.145
1280.000000, 83.151
1289.275408, 83.157
1298.618029, 83.162
1308.028350, 83.168
1317.506863, 83.174
1327.054061, 83.179
1336.670442, 83.184
1346.356507, 83.189
1356.112761, 83.194
1365.939713, 83.198
1375.837875, 83.202
1385.807763, 83.206
1395.849898, 83.210
1405.964802, 83.213
1416.153002, 83.217
1426.415031, 83.219
1436.751422, 83.222
1447.162715, 83.224
1457.649452, 83.226
1468.212181, 83.228
1478.851452, 83.229
1489.567819, 83.230
1500.361842, 83.231
1511.234082, 83.231
1522.185107, 83.231
1533.215488, 83.231
1544.325799, 83.231
1555.516621, 83.230
1566.788535, 83.229
1578.142131, 83.227
1589.577999, 83.225
1601.096737, 83.223
1612.698944, 83.221
1624.385225, 83.219
1636.156190, 83.216
1648.012452, 83.214
1659.954630, 83.211
1671.983345, 83.209
1684.099226, 83.206
1696.302903, 83.204
1708.595013, 83.202
1720.976197, 83.200
1733.447100, 83.198
1746.008372, 83.197
1758.660669, 83.196
1771.404649, 83.195
1784.240977, 83.195
1797.170323, 83.195
1810.193360, 83.196
1823.310767, 83.196
1836.523229, 83.197
1849.831433, 83.197
1863.236074, 83.197
1876.737851, 83.197
1890.337467, 83.196
1904.035631, 83.194
1917.833058, 83.192
1931.730467, 83.187
1945.728583, 83.181
1959.828134, 83.174
1974.029857, 83.164
1988.334491, 83.152
2002.742782, 83.137
2017.255482, 83.120
2031.873347, 83.100
2046.597138, 83.078
2061.427625, 83.052
2076.365579, 83.023
2091.411780, 82.992
2106.567012, 82.957
2121.832065, 82.920
2137.207735, 82.880
2152.694823, 82.838
2168.294137, 82.793
2184.006490, 82.746
2199.832702, 82.698
2215.773596, 82.648
2231.830005, 82.597
2248.002765, 82.546
2264.292720, 82.495
2280.700718, 82.445
2297.227616, 82.396
2313.874274, 82.349
2330.641561, 82.305
2347.530351, 82.264
2364.541523, 82.227
2381.675966, 82.195
2398.934572, 82.167
2416.318240, 82.146
2433.827878, 82.130
2451.464399, 82.120
2469.228720, 82.116
2487.121769, 82.119
2505.144479, 82.127
2523.297789, 82.142
2541.582644, 82.162
2560.000000, 82.186
2578.550815, 82.215
2597.236057, 82.248
2616.056701, 82.283
2635.013726, 82.320
2654.108121, 82.359
2673.340883, 82.398
2692.713013, 82.438
2712.225522, 82.477
2731.879426, 82.516
2751.675750, 82.553
2771.615527, 82.588
2791.699796, 82.621
2811.929603, 82.653
2832.306004, 82.682
2852.830061, 82.709
2873.502844, 82.733
2894.325430, 82.755
2915.298905, 82.775
2936.424363, 82.793
2957.702904, 82.809
2979.135638, 82.822
3000.723683, 82.834
3022.468164, 82.843
3044.370214, 82.851
3066.430976, 82.856
3088.651599, 82.860
3111.033242, 82.862
3133.577071, 82.862
3156.284262, 82.861
3179.155999, 82.858
3202.193474, 82.854
3225.397888, 82.849
3248.770450, 82.844
3272.312380, 82.839
3296.024905, 82.834
3319.909260, 82.830
3343.966691, 82.828
3368.198452, 82.828
3392.605806, 82.831
3417.190027, 82.837
3441.952394, 82.846
3466.894200, 82.860
3492.016745, 82.878
3517.321337, 82.900
3542.809298, 82.926
3568.481954, 82.957
3594.340646, 82.992
3620.386720, 83.030
3646.621534, 83.071
3673.046457, 83.114
3699.662866, 83.159
3726.472148, 83.205
3753.475701, 83.251
3780.674934, 83.296
3808.071263, 83.341
3835.666117, 83.383
3863.460935, 83.424
3891.457165, 83.462
3919.656268, 83.497
3948.059713, 83.530
3976.668981, 83.560
4005.485564, 83.587
4034.510963, 83.612
4063.746693, 83.635
4093.194277, 83.658
4122.855250, 83.679
4152.731158, 83.700
4182.823560, 83.722
4213.134024, 83.745
4243.664130, 83.770
4274.415470, 83.796
4305.389646, 83.824
4336.588274, 83.854
4368.012981, 83.885
4399.665403, 83.918
4431.547192, 83.951
4463.660010, 83.985
4496.005531, 84.018
4528.585440, 84.049
4561.401437, 84.079
4594.455232, 84.106
4627.748549, 84.129
4661.283122, 84.148
4695.060701, 84.164
4729.083046, 84.174
4763.351932, 84.180
4797.869143, 84.181
4832.636481, 84.177
4867.655757, 84.169
4902.928797, 84.157
4938.457440, 84.141
4974.243539, 84.121
5010.288958, 84.099
5046.595577, 84.073
5083.165289, 84.045
5120.000000, 84.015
5157.101631, 83.983
5194.472115, 83.948
5232.113401, 83.912
5270.027452, 83.873
5308.216243, 83.832
5346.681766, 83.788
5385.426026, 83.742
5424.451043, 83.692
5463.758851, 83.638
5503.351500, 83.580
5543.231054, 83.518
5583.399591, 83.451
5623.859206, 83.379
5664.612008, 83.303
5705.660122, 83.221
5747.005687, 83.134
5788.650860, 83.042
5830.597810, 82.946
5872.848725, 82.845
5915.405808, 82.739
5958.271277, 82.630
6001.447367, 82.517
6044.936328, 82.402
6088.740429, 82.283
6132.861952, 82.163
6177.303198, 82.041
6222.066483, 81.917
6267.154142, 81.793
6312.568524, 81.669
6358.311998, 81.544
6404.386948, 81.420
6450.795775, 81.297
6497.540901, 81.176
6544.624761, 81.058
6592.049809, 80.942
6639.818520, 80.829
6687.933382, 80.722
6736.396904, 80.619
6785.211613, 80.522
6834.380053, 80.433
6883.904789, 80.351
6933.788400, 80.277
6984.033489, 80.213
7034.642675, 80.159
7085.618596, 80.116
7136.963909, 80.083
7188.681291, 80.063
7240.773439, 80.053
7293.243069, 80.055
7346.092914, 80.067
7399.325732, 80.090
7452.944296, 80.123
7506.951403, 80.164
7561.349867, 80.213
7616.142525, 80.267
7671.332234, 80.327
7726.921869, 80.390
7782.914330, 80.456
7839.312536, 80.522
7896.119426, 80.588
7953.337962, 80.652
8010.971128, 80.713
8069.021927, 80.771
8127.493386, 80.825
8186.388553, 80.874
8245.710500, 80.917
8305.462317, 80.954
8365.647121, 80.985
8426.268048, 81.010
8487.328260, 81.028
8548.830939, 81.041
8610.779292, 81.047
8673.176549, 81.047
8736.025961, 81.041
8799.330806, 81.030
8863.094385, 81.013
8927.320020, 80.991
8992.011061, 80.963
9057.170880, 80.931
9122.802874, 80.892
9188.910464, 80.849
9255.497097, 80.799
9322.566244, 80.743
9390.121402, 80.681
9458.166093, 80.611
9526.703863, 80.534
9595.738287, 80.448
9665.272962, 80.353
9735.311514, 80.248
9805.857594, 80.133
9876.914881, 80.007
9948.487077, 79.869
10020.577916, 79.719
10093.191154, 79.557
10166.330578, 79.381
10240.000000, 79.192
10314.203261, 78.990
10388.944230, 78.774
10464.226802, 78.546
10540.054903, 78.305
10616.432486, 78.053
10693.363532, 77.790
10770.852052, 77.519
10848.902086, 77.240
10927.517703, 76.956
11006.703001, 76.670
11086.462108, 76.385
11166.799182, 76.104
11247.718413, 75.833
11329.224017, 75.575
11411.320244, 75.336
11494.011375, 75.121
11577.301719, 74.933
11661.195620, 74.776
11745.697450, 74.653
11830.811616, 74.564
11916.542554, 74.509
12002.894734, 74.485
12089.872657, 74.490
12177.480858, 74.518
12265.723904, 74.566
12354.606395, 74.629
12444.132966, 74.702
12534.308283, 74.781
12625.137048, 74.863
12716.623996, 74.945
12808.773895, 75.024
12901.591551, 75.099
12995.081802, 75.168
13089.249521, 75.229
13184.099619, 75.283
13279.637040, 75.329
13375.866764, 75.366
13472.793808, 75.394
13570.423226, 75.413
13668.760107, 75.424
13767.809577, 75.427
13867.576801, 75.422
13968.066979, 75.409
14069.285350, 75.389
14171.237191, 75.361
14273.927818, 75.327
14377.362583, 75.286
14481.546879, 75.238
14586.486137, 75.185
14692.185828, 75.125
14798.651463, 75.060
14905.888592, 74.989
15013.902806, 74.913
15122.699734, 74.832
15232.285051, 74.747
15342.664467, 74.659
15453.843739, 74.567
15565.828661, 74.473
15678.625072, 74.378
15792.238852, 74.282
15906.675925, 74.186
16021.942256, 74.092
16138.043854, 73.999
16254.986772, 73.910
16372.777107, 73.823
16491.420999, 73.741
16610.924634, 73.662
16731.294241, 73.588
16852.536096, 73.517
16974.656520, 73.449
17097.661878, 73.385
17221.558584, 73.322
17346.353097, 73.262
17472.051922, 73.203
17598.661613, 73.144
17726.188769, 73.087
17854.640040, 73.030
17984.022122, 72.974
18114.341760, 72.919
18245.605748, 72.866
18377.820928, 72.817
18510.994194, 72.772
18645.132489, 72.733
18780.242805, 72.699
18916.332186, 72.672
19053.407727, 72.652
19191.476573, 72.638
19330.545924, 72.629
19470.623028, 72.624
19611.715189, 72.621
19753.829761, 72.620
19896.974155, 72.620
20041.155832, 72.620
