* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Dated: Jan 12, 2025 9:03:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Measurement: Left Ear
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
123.413086, 82.748
123.779297, 82.735
124.145508, 82.722
124.511719, 82.709
124.877930, 82.697
125.244141, 82.686
125.610352, 82.675
125.976562, 82.664
126.342773, 82.654
126.708984, 82.644
127.075195, 82.635
127.441406, 82.626
127.807617, 82.617
128.173828, 82.609
128.540039, 82.601
128.906250, 82.593
129.272461, 82.586
129.638672, 82.578
130.004883, 82.571
130.371094, 82.563
130.737305, 82.556
131.103516, 82.549
131.469727, 82.541
131.835938, 82.534
132.202148, 82.527
132.568359, 82.520
132.934570, 82.513
133.300781, 82.507
133.666992, 82.500
134.033203, 82.493
134.399414, 82.487
134.765625, 82.480
135.131836, 82.474
135.498047, 82.468
135.864258, 82.462
136.230469, 82.456
136.596680, 82.451
136.962891, 82.445
137.329102, 82.440
137.695312, 82.434
138.061523, 82.429
138.427734, 82.424
138.793945, 82.419
139.160156, 82.413
139.526367, 82.408
139.892578, 82.403
140.258789, 82.398
140.625000, 82.393
140.991211, 82.388
141.357422, 82.382
141.723633, 82.377
142.089844, 82.372
142.456055, 82.366
142.822266, 82.361
143.188477, 82.356
143.554688, 82.350
143.920898, 82.345
144.287109, 82.340
144.653320, 82.334
145.019531, 82.329
145.385742, 82.324
145.751953, 82.318
146.118164, 82.313
146.484375, 82.308
146.850586, 82.303
147.216797, 82.297
147.583008, 82.292
147.949219, 82.287
148.315430, 82.282
148.681641, 82.277
149.047852, 82.272
149.414062, 82.266
149.780273, 82.261
150.146484, 82.256
150.512695, 82.251
150.878906, 82.246
151.245117, 82.241
151.611328, 82.235
151.977539, 82.230
152.343750, 82.225
152.709961, 82.220
153.076172, 82.214
153.442383, 82.209
153.808594, 82.204
154.174805, 82.198
154.541016, 82.193
154.907227, 82.188
155.273438, 82.183
155.639648, 82.177
156.005859, 82.172
156.372070, 82.167
156.738281, 82.161
157.104492, 82.156
157.470703, 82.151
157.836914, 82.146
158.203125, 82.140
158.569336, 82.135
158.935547, 82.130
159.301758, 82.124
159.667969, 82.119
160.034180, 82.114
160.400391, 82.109
160.766602, 82.103
161.132812, 82.098
161.499023, 82.093
161.865234, 82.088
162.231445, 82.082
162.597656, 82.077
162.963867, 82.072
