* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Dated: Jan 12, 2025 9:35:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Measurement: right 15 avg
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
115.068065, 81.248
115.404521, 81.251
115.740977, 81.254
116.077434, 81.256
116.413890, 81.259
116.750346, 81.262
117.086803, 81.265
117.423259, 81.267
117.759715, 81.270
118.096171, 81.273
118.432628, 81.276
118.769084, 81.279
119.105540, 81.282
119.441997, 81.285
119.778453, 81.288
120.114909, 81.292
120.451366, 81.296
120.787822, 81.299
121.124278, 81.303
121.460735, 81.307
121.797191, 81.311
122.133647, 81.315
122.470104, 81.320
122.806560, 81.324
123.143016, 81.329
123.479473, 81.334
123.815929, 81.339
124.152385, 81.344
124.488842, 81.350
124.825298, 81.355
125.161754, 81.361
125.498211, 81.367
125.834667, 81.373
126.171123, 81.380
126.507580, 81.386
126.844036, 81.393
127.180492, 81.400
127.516949, 81.407
127.853405, 81.415
128.189861, 81.422
128.526318, 81.429
128.862774, 81.437
129.199230, 81.445
129.535687, 81.453
129.872143, 81.461
130.208599, 81.469
130.545056, 81.477
130.881512, 81.485
131.217968, 81.494
131.554425, 81.502
131.890881, 81.511
132.227337, 81.520
132.563794, 81.529
132.900250, 81.538
133.236706, 81.547
133.573163, 81.556
133.909619, 81.565
134.246075, 81.575
134.582532, 81.584
134.918988, 81.594
135.255444, 81.604
135.591901, 81.614
135.928357, 81.624
136.264813, 81.634
136.601270, 81.644
136.937726, 81.654
137.274182, 81.665
137.610639, 81.675
137.947095, 81.686
138.283551, 81.696
138.620008, 81.707
138.956464, 81.717
139.292920, 81.728
139.629377, 81.738
139.965833, 81.749
140.302289, 81.759
140.638746, 81.770
140.975202, 81.781
141.311658, 81.792
141.648115, 81.802
141.984571, 81.813
142.321027, 81.824
142.657483, 81.834
142.993940, 81.845
