* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15, Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26
* Dated: Jan 12, 2025 8:27:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15, Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26
* Measurement: Left Ear 25 seats
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
111.030589, 96.401
111.367045, 96.402
111.703501, 96.403
112.039958, 96.404
112.376414, 96.404
112.712870, 96.405
113.049327, 96.406
113.385783, 96.406
113.722239, 96.406
114.058696, 96.407
114.395152, 96.407
114.731608, 96.407
115.068065, 96.407
115.404521, 96.407
115.740977, 96.406
116.077434, 96.406
116.413890, 96.405
116.750346, 96.405
117.086803, 96.404
117.423259, 96.403
117.759715, 96.402
118.096171, 96.401
118.432628, 96.400
118.769084, 96.398
119.105540, 96.397
119.441997, 96.396
119.778453, 96.395
120.114909, 96.394
120.451366, 96.392
120.787822, 96.391
121.124278, 96.390
121.460735, 96.389
121.797191, 96.388
122.133647, 96.387
122.470104, 96.386
122.806560, 96.385
123.143016, 96.384
123.479473, 96.383
123.815929, 96.382
124.152385, 96.381
124.488842, 96.380
124.825298, 96.378
125.161754, 96.377
125.498211, 96.375
125.834667, 96.373
126.171123, 96.371
126.507580, 96.369
126.844036, 96.367
127.180492, 96.365
127.516949, 96.363
127.853405, 96.360
128.189861, 96.358
128.526318, 96.355
128.862774, 96.353
129.199230, 96.350
129.535687, 96.347
129.872143, 96.345
130.208599, 96.342
130.545056, 96.339
130.881512, 96.336
131.217968, 96.333
131.554425, 96.330
131.890881, 96.327
132.227337, 96.324
132.563794, 96.321
132.900250, 96.318
133.236706, 96.315
133.573163, 96.312
133.909619, 96.309
134.246075, 96.306
134.582532, 96.302
134.918988, 96.299
135.255444, 96.296
135.591901, 96.293
135.928357, 96.289
136.264813, 96.286
136.601270, 96.282
136.937726, 96.279
137.274182, 96.275
137.610639, 96.272
137.947095, 96.268
138.283551, 96.264
138.620008, 96.261
138.956464, 96.257
139.292920, 96.254
139.629377, 96.250
139.965833, 96.246
140.302289, 96.243
140.638746, 96.239
140.975202, 96.235
141.311658, 96.232
141.648115, 96.228
141.984571, 96.225
142.321027, 96.221
142.657483, 96.217
142.993940, 96.214
143.330396, 96.210
143.666852, 96.207
144.003309, 96.203
144.339765, 96.200
144.676221, 96.196
145.012678, 96.193
145.349134, 96.189
145.685590, 96.185
146.022047, 96.182
146.358503, 96.178
146.694959, 96.174
147.031416, 96.171
147.367872, 96.167
147.704328, 96.163
148.040785, 96.159
148.377241, 96.155
148.713697, 96.151
149.050154, 96.148
149.386610, 96.144
149.723066, 96.140
150.059523, 96.136
150.395979, 96.132
150.732435, 96.128
151.068892, 96.124
151.405348, 96.120
151.741804, 96.117
152.078261, 96.113
152.414717, 96.109
152.751173, 96.105
153.087630, 96.101
153.424086, 96.097
153.760542, 96.093
154.096999, 96.089
154.433455, 96.085
154.769911, 96.082
155.106368, 96.078
155.442824, 96.074
155.779280, 96.070
156.115737, 96.066
156.452193, 96.062
156.788649, 96.058
157.125106, 96.053
157.461562, 96.049
157.798018, 96.045
158.134475, 96.041
158.470931, 96.037
158.807387, 96.033
159.143844, 96.029
159.480300, 96.024
159.816756, 96.020
160.153213, 96.016
160.489669, 96.012
160.826125, 96.007
161.162582, 96.003
161.499038, 95.998
161.835494, 95.994
162.171951, 95.990
162.508407, 95.985
162.844863, 95.981
163.181320, 95.976
163.517776, 95.972
163.854232, 95.967
164.190689, 95.962
164.527145, 95.958
164.863601, 95.953
165.200058, 95.948
165.536514, 95.943
165.872970, 95.938
166.209426, 95.934
166.545883, 95.929
166.882339, 95.924
167.218795, 95.919
167.555252, 95.914
167.891708, 95.909
168.228164, 95.904
168.564621, 95.899
168.901077, 95.894
169.237533, 95.889
169.573990, 95.883
169.910446, 95.878
170.246902, 95.873
170.583359, 95.868
170.919815, 95.863
171.256271, 95.857
171.592728, 95.852
171.929184, 95.847
172.265640, 95.842
172.602097, 95.836
172.938553, 95.831
173.275009, 95.826
173.611466, 95.821
173.947922, 95.815
174.284378, 95.810
174.620835, 95.805
174.957291, 95.799
175.293747, 95.794
175.630204, 95.789
175.966660, 95.784
176.303116, 95.778
176.639573, 95.773
176.976029, 95.768
177.312485, 95.763
177.648942, 95.758
177.985398, 95.752
178.321854, 95.747
178.658311, 95.742
178.994767, 95.737
179.331223, 95.732
179.667680, 95.727
180.004136, 95.722
180.340592, 95.717
180.677049, 95.712
181.013505, 95.707
181.349961, 95.702
181.686418, 95.697
182.022874, 95.692
182.359330, 95.688
182.695787, 95.683
183.032243, 95.678
183.368699, 95.673
183.705156, 95.668
184.041612, 95.663
184.378068, 95.658
184.714525, 95.654
185.050981, 95.649
185.387437, 95.644
185.723894, 95.639
186.060350, 95.634
186.396806, 95.629
186.733263, 95.624
187.069719, 95.620
187.406175, 95.615
187.742632, 95.610
188.079088, 95.605
188.415544, 95.600
188.752001, 95.595
189.088457, 95.590
189.424913, 95.585
189.761369, 95.580
190.097826, 95.575
190.434282, 95.570
190.770738, 95.565
191.107195, 95.560
191.443651, 95.555
191.780107, 95.551
192.116564, 95.546
192.453020, 95.541
192.789476, 95.536
193.125933, 95.531
193.462389, 95.526
193.798845, 95.521
194.135302, 95.516
194.471758, 95.511
194.808214, 95.506
195.144671, 95.501
195.481127, 95.496
195.817583, 95.491
196.154040, 95.486
196.490496, 95.481
196.826952, 95.476
197.163409, 95.471
197.499865, 95.466
197.836321, 95.460
198.172778, 95.455
198.509234, 95.450
198.845690, 95.445
199.182147, 95.440
199.518603, 95.435
199.855059, 95.430
