* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Dated: Jan 13, 2025 12:24:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Measurement: Right 15 avg
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
123.413086, 78.972
123.779297, 78.959
124.145508, 78.945
124.511719, 78.931
124.877930, 78.917
125.244141, 78.904
125.610352, 78.889
125.976562, 78.875
126.342773, 78.860
126.708984, 78.845
127.075195, 78.830
127.441406, 78.814
127.807617, 78.798
128.173828, 78.782
128.540039, 78.766
128.906250, 78.749
129.272461, 78.732
129.638672, 78.716
130.004883, 78.699
130.371094, 78.682
130.737305, 78.666
131.103516, 78.649
131.469727, 78.633
131.835938, 78.617
132.202148, 78.600
132.568359, 78.584
132.934570, 78.568
133.300781, 78.553
133.666992, 78.537
134.033203, 78.522
134.399414, 78.506
134.765625, 78.491
135.131836, 78.476
135.498047, 78.461
135.864258, 78.446
136.230469, 78.431
136.596680, 78.416
136.962891, 78.402
137.329102, 78.387
137.695312, 78.372
138.061523, 78.357
138.427734, 78.342
138.793945, 78.326
139.160156, 78.311
139.526367, 78.296
139.892578, 78.280
140.258789, 78.265
140.625000, 78.249
140.991211, 78.233
141.357422, 78.218
141.723633, 78.203
142.089844, 78.187
142.456055, 78.172
142.822266, 78.157
143.188477, 78.142
143.554688, 78.127
143.920898, 78.112
144.287109, 78.097
144.653320, 78.082
145.019531, 78.067
145.385742, 78.053
145.751953, 78.038
146.118164, 78.023
146.484375, 78.008
146.850586, 77.992
147.216797, 77.977
147.583008, 77.962
147.949219, 77.946
148.315430, 77.931
148.681641, 77.915
149.047852, 77.900
149.414062, 77.884
149.780273, 77.868
150.146484, 77.853
150.512695, 77.837
150.878906, 77.821
151.245117, 77.806
151.611328, 77.790
151.977539, 77.775
152.343750, 77.760
152.709961, 77.745
153.076172, 77.730
153.442383, 77.715
153.808594, 77.701
154.174805, 77.686
154.541016, 77.672
154.907227, 77.658
155.273438, 77.644
155.639648, 77.630
156.005859, 77.616
156.372070, 77.603
156.738281, 77.589
157.104492, 77.576
157.470703, 77.563
157.836914, 77.550
158.203125, 77.537
158.569336, 77.525
158.935547, 77.512
159.301758, 77.499
159.667969, 77.487
160.034180, 77.475
160.400391, 77.463
160.766602, 77.450
161.132812, 77.438
161.499023, 77.426
161.865234, 77.415
162.231445, 77.403
162.597656, 77.391
162.963867, 77.379
163.330078, 77.368
163.696289, 77.356
164.062500, 77.344
164.428711, 77.333
164.794922, 77.321
165.161133, 77.309
165.527344, 77.298
165.893555, 77.286
166.259766, 77.274
166.625977, 77.263
166.992188, 77.251
167.358398, 77.239
167.724609, 77.227
168.090820, 77.216
168.457031, 77.204
168.823242, 77.192
169.189453, 77.181
169.555664, 77.169
169.921875, 77.157
170.288086, 77.146
170.654297, 77.134
171.020508, 77.122
171.386719, 77.111
171.752930, 77.099
172.119141, 77.088
172.485352, 77.076
172.851562, 77.065
173.217773, 77.053
173.583984, 77.042
173.950195, 77.031
174.316406, 77.019
174.682617, 77.008
175.048828, 76.997
175.415039, 76.986
175.781250, 76.975
176.147461, 76.964
176.513672, 76.954
176.879883, 76.943
177.246094, 76.932
177.612305, 76.922
177.978516, 76.912
178.344727, 76.901
178.710938, 76.891
179.077148, 76.881
179.443359, 76.871
179.809570, 76.861
180.175781, 76.852
180.541992, 76.842
180.908203, 76.832
181.274414, 76.823
181.640625, 76.814
182.006836, 76.805
182.373047, 76.796
182.739258, 76.787
183.105469, 76.778
183.471680, 76.770
183.837891, 76.762
184.204102, 76.754
184.570312, 76.746
184.936523, 76.738
185.302734, 76.731
185.668945, 76.724
186.035156, 76.717
186.401367, 76.710
186.767578, 76.703
187.133789, 76.697
187.500000, 76.691
187.866211, 76.685
188.232422, 76.680
188.598633, 76.674
188.964844, 76.669
189.331055, 76.664
189.697266, 76.659
190.063477, 76.654
190.429688, 76.649
190.795898, 76.645
191.162109, 76.641
191.528320, 76.637
191.894531, 76.633
192.260742, 76.629
192.626953, 76.625
192.993164, 76.622
193.359375, 76.618
193.725586, 76.615
194.091797, 76.612
194.458008, 76.609
194.824219, 76.606
195.190430, 76.603
195.556641, 76.601
195.922852, 76.598
196.289062, 76.596
196.655273, 76.594
197.021484, 76.593
197.387695, 76.591
197.753906, 76.590
198.120117, 76.589
198.486328, 76.588
198.852539, 76.588
199.218750, 76.588
199.584961, 76.588
199.951172, 76.588
200.317383, 76.589
200.683594, 76.590
201.049805, 76.591
201.416016, 76.593
201.782227, 76.595
202.148438, 76.597
202.514648, 76.600
202.880859, 76.602
203.247070, 76.605
203.613281, 76.609
203.979492, 76.612
204.345703, 76.616
204.711914, 76.621
205.078125, 76.625
205.444336, 76.630
205.810547, 76.635
206.176758, 76.640
206.542969, 76.646
206.909180, 76.652
207.275391, 76.658
207.641602, 76.664
208.007812, 76.670
208.374023, 76.677
208.740234, 76.684
209.106445, 76.692
209.472656, 76.699
209.838867, 76.707
210.205078, 76.715
210.571289, 76.724
210.937500, 76.732
211.303711, 76.741
211.669922, 76.750
212.036133, 76.760
212.402344, 76.769
212.768555, 76.779
213.134766, 76.790
213.500977, 76.800
213.867188, 76.811
214.233398, 76.822
214.599609, 76.834
214.965820, 76.845
215.332031, 76.857
215.698242, 76.870
216.064453, 76.882
216.430664, 76.895
216.796875, 76.908
217.163086, 76.922
217.529297, 76.936
217.895508, 76.950
218.261719, 76.964
218.627930, 76.979
218.994141, 76.994
219.360352, 77.009
219.726562, 77.025
220.092773, 77.040
220.458984, 77.056
220.825195, 77.073
221.191406, 77.089
221.557617, 77.106
221.923828, 77.123
222.290039, 77.140
222.656250, 77.157
223.022461, 77.174
223.388672, 77.192
223.754883, 77.209
224.121094, 77.227
224.487305, 77.245
224.853516, 77.264
225.219727, 77.282
225.585938, 77.300
225.952148, 77.319
226.318359, 77.338
226.684570, 77.356
227.050781, 77.375
227.416992, 77.394
227.783203, 77.413
228.149414, 77.432
228.515625, 77.452
228.881836, 77.471
229.248047, 77.490
229.614258, 77.509
229.980469, 77.529
230.346680, 77.548
230.712891, 77.568
231.079102, 77.587
231.445312, 77.607
231.811523, 77.626
232.177734, 77.646
232.543945, 77.665
232.910156, 77.684
233.276367, 77.704
233.642578, 77.723
234.008789, 77.743
234.375000, 77.762
234.741211, 77.781
235.107422, 77.800
235.473633, 77.819
235.839844, 77.838
236.206055, 77.857
236.572266, 77.875
236.938477, 77.894
237.304688, 77.912
237.670898, 77.931
238.037109, 77.949
238.403320, 77.967
238.769531, 77.985
239.135742, 78.002
239.501953, 78.020
239.868164, 78.037
240.234375, 78.055
240.600586, 78.072
240.966797, 78.089
241.333008, 78.105
241.699219, 78.122
242.065430, 78.139
242.431641, 78.155
242.797852, 78.172
243.164062, 78.188
243.530273, 78.204
243.896484, 78.220
244.262695, 78.236
244.628906, 78.252
244.995117, 78.268
245.361328, 78.284
245.727539, 78.300
246.093750, 78.315
246.459961, 78.331
246.826172, 78.347
247.192383, 78.363
247.558594, 78.378
247.924805, 78.394
248.291016, 78.409
248.657227, 78.425
249.023438, 78.441
249.389648, 78.456
249.755859, 78.472
250.122070, 78.487
250.488281, 78.503
250.854492, 78.518
251.220703, 78.533
251.586914, 78.549
251.953125, 78.564
252.319336, 78.579
252.685547, 78.594
253.051758, 78.610
253.417969, 78.625
253.784180, 78.640
254.150391, 78.655
254.516602, 78.670
254.882812, 78.685
255.249023, 78.700
255.615234, 78.715
255.981445, 78.730
256.347656, 78.745
256.713867, 78.759
257.080078, 78.774
257.446289, 78.789
257.812500, 78.804
258.178711, 78.819
258.544922, 78.834
258.911133, 78.849
259.277344, 78.863
259.643555, 78.878
260.009766, 78.893
260.375977, 78.908
260.742188, 78.923
261.108398, 78.938
261.474609, 78.953
261.840820, 78.968
262.207031, 78.983
262.573242, 78.998
262.939453, 79.013
263.305664, 79.028
263.671875, 79.043
264.038086, 79.058
264.404297, 79.073
264.770508, 79.088
265.136719, 79.103
265.502930, 79.118
265.869141, 79.133
266.235352, 79.148
266.601562, 79.163
266.967773, 79.178
267.333984, 79.193
267.700195, 79.207
268.066406, 79.222
268.432617, 79.237
268.798828, 79.252
269.165039, 79.266
269.531250, 79.281
269.897461, 79.296
270.263672, 79.310
270.629883, 79.325
270.996094, 79.339
271.362305, 79.354
271.728516, 79.368
272.094727, 79.382
272.460938, 79.397
272.827148, 79.411
273.193359, 79.425
273.559570, 79.439
273.925781, 79.453
274.291992, 79.467
274.658203, 79.482
275.024414, 79.496
275.390625, 79.510
275.756836, 79.524
276.123047, 79.538
276.489258, 79.552
276.855469, 79.566
277.221680, 79.580
277.587891, 79.594
277.954102, 79.607
278.320312, 79.621
278.686523, 79.635
279.052734, 79.649
279.418945, 79.663
279.785156, 79.677
280.151367, 79.691
280.517578, 79.705
280.883789, 79.719
281.250000, 79.732
281.616211, 79.746
281.982422, 79.760
282.348633, 79.774
282.714844, 79.788
283.081055, 79.801
283.447266, 79.815
283.813477, 79.829
284.179688, 79.843
284.545898, 79.856
284.912109, 79.870
285.278320, 79.884
285.644531, 79.897
286.010742, 79.911
