* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Dated: Jan 12, 2025 9:10:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Measurement: right ear
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
123.413086, 83.960
123.779297, 83.950
124.145508, 83.941
124.511719, 83.931
124.877930, 83.922
125.244141, 83.913
125.610352, 83.904
125.976562, 83.895
126.342773, 83.886
126.708984, 83.877
127.075195, 83.868
127.441406, 83.859
127.807617, 83.851
128.173828, 83.843
128.540039, 83.835
128.906250, 83.827
129.272461, 83.820
129.638672, 83.812
130.004883, 83.805
130.371094, 83.798
130.737305, 83.791
131.103516, 83.785
131.469727, 83.779
131.835938, 83.773
132.202148, 83.767
132.568359, 83.761
132.934570, 83.756
133.300781, 83.751
133.666992, 83.746
134.033203, 83.741
134.399414, 83.736
134.765625, 83.732
135.131836, 83.728
135.498047, 83.723
135.864258, 83.720
136.230469, 83.716
136.596680, 83.712
136.962891, 83.709
137.329102, 83.705
137.695312, 83.702
138.061523, 83.699
138.427734, 83.696
138.793945, 83.693
139.160156, 83.690
139.526367, 83.687
139.892578, 83.685
140.258789, 83.682
140.625000, 83.680
140.991211, 83.678
141.357422, 83.675
141.723633, 83.673
142.089844, 83.671
142.456055, 83.668
142.822266, 83.666
143.188477, 83.664
143.554688, 83.662
143.920898, 83.659
144.287109, 83.657
144.653320, 83.655
145.019531, 83.652
145.385742, 83.650
145.751953, 83.647
146.118164, 83.645
146.484375, 83.642
146.850586, 83.640
147.216797, 83.637
147.583008, 83.635
147.949219, 83.632
148.315430, 83.629
148.681641, 83.627
149.047852, 83.624
149.414062, 83.621
149.780273, 83.618
150.146484, 83.616
150.512695, 83.613
150.878906, 83.610
151.245117, 83.608
151.611328, 83.605
151.977539, 83.602
152.343750, 83.600
152.709961, 83.597
153.076172, 83.594
153.442383, 83.592
153.808594, 83.589
154.174805, 83.586
154.541016, 83.584
154.907227, 83.581
155.273438, 83.578
155.639648, 83.575
156.005859, 83.572
156.372070, 83.570
156.738281, 83.567
157.104492, 83.564
157.470703, 83.561
157.836914, 83.558
158.203125, 83.555
158.569336, 83.552
158.935547, 83.548
159.301758, 83.545
159.667969, 83.542
160.034180, 83.539
160.400391, 83.535
160.766602, 83.532
161.132812, 83.528
161.499023, 83.525
161.865234, 83.521
162.231445, 83.518
162.597656, 83.514
162.963867, 83.511
163.330078, 83.507
163.696289, 83.503
164.062500, 83.500
164.428711, 83.496
164.794922, 83.492
165.161133, 83.489
165.527344, 83.485
165.893555, 83.481
166.259766, 83.477
166.625977, 83.474
166.992188, 83.470
167.358398, 83.466
167.724609, 83.462
168.090820, 83.458
168.457031, 83.454
168.823242, 83.450
169.189453, 83.446
169.555664, 83.442
169.921875, 83.438
170.288086, 83.434
170.654297, 83.430
171.020508, 83.426
171.386719, 83.422
171.752930, 83.418
172.119141, 83.414
172.485352, 83.410
172.851562, 83.406
173.217773, 83.402
173.583984, 83.398
173.950195, 83.394
174.316406, 83.390
174.682617, 83.385
175.048828, 83.381
175.415039, 83.377
175.781250, 83.372
176.147461, 83.368
176.513672, 83.364
176.879883, 83.359
177.246094, 83.354
177.612305, 83.350
177.978516, 83.345
178.344727, 83.340
178.710938, 83.335
179.077148, 83.330
179.443359, 83.325
179.809570, 83.320
180.175781, 83.314
180.541992, 83.309
180.908203, 83.304
181.274414, 83.298
181.640625, 83.292
182.006836, 83.287
182.373047, 83.281
182.739258, 83.275
183.105469, 83.269
183.471680, 83.263
183.837891, 83.258
184.204102, 83.252
184.570312, 83.246
184.936523, 83.240
185.302734, 83.234
185.668945, 83.228
186.035156, 83.223
186.401367, 83.217
186.767578, 83.212
187.133789, 83.206
187.500000, 83.201
187.866211, 83.196
188.232422, 83.191
188.598633, 83.186
188.964844, 83.181
189.331055, 83.177
189.697266, 83.173
190.063477, 83.168
190.429688, 83.164
190.795898, 83.161
191.162109, 83.157
191.528320, 83.154
191.894531, 83.150
192.260742, 83.147
192.626953, 83.144
192.993164, 83.142
193.359375, 83.139
193.725586, 83.136
194.091797, 83.134
194.458008, 83.132
194.824219, 83.129
195.190430, 83.127
195.556641, 83.125
195.922852, 83.123
196.289062, 83.121
196.655273, 83.118
197.021484, 83.116
197.387695, 83.114
197.753906, 83.112
198.120117, 83.109
198.486328, 83.107
198.852539, 83.104
199.218750, 83.101
199.584961, 83.098
199.951172, 83.095
200.317383, 83.092
200.683594, 83.089
201.049805, 83.085
201.416016, 83.082
201.782227, 83.078
202.148438, 83.074
202.514648, 83.070
202.880859, 83.066
203.247070, 83.062
203.613281, 83.058
203.979492, 83.053
204.345703, 83.049
204.711914, 83.044
205.078125, 83.040
205.444336, 83.035
205.810547, 83.030
206.176758, 83.026
206.542969, 83.021
206.909180, 83.017
207.275391, 83.012
207.641602, 83.008
208.007812, 83.003
208.374023, 82.999
208.740234, 82.995
209.106445, 82.992
209.472656, 82.988
209.838867, 82.985
210.205078, 82.981
210.571289, 82.979
210.937500, 82.976
211.303711, 82.973
211.669922, 82.971
212.036133, 82.969
212.402344, 82.968
212.768555, 82.966
213.134766, 82.965
213.500977, 82.965
213.867188, 82.964
214.233398, 82.964
214.599609, 82.964
214.965820, 82.964
215.332031, 82.964
215.698242, 82.965
216.064453, 82.966
216.430664, 82.967
216.796875, 82.968
217.163086, 82.969
217.529297, 82.970
217.895508, 82.971
218.261719, 82.973
218.627930, 82.974
218.994141, 82.976
219.360352, 82.977
219.726562, 82.979
220.092773, 82.980
220.458984, 82.982
220.825195, 82.983
221.191406, 82.984
221.557617, 82.985
221.923828, 82.987
222.290039, 82.988
