* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 27, Right 28, Right 29, Right 30, Right 31
* Dated: Jan 13, 2025 12:29:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 27, Right 28, Right 29, Right 30, Right 31
* Measurement: Left Ear 15 AVG
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
123.413086, 79.578
123.779297, 79.571
124.145508, 79.563
124.511719, 79.556
124.877930, 79.548
125.244141, 79.540
125.610352, 79.532
125.976562, 79.524
126.342773, 79.515
126.708984, 79.506
127.075195, 79.497
127.441406, 79.488
127.807617, 79.478
128.173828, 79.469
128.540039, 79.459
128.906250, 79.449
129.272461, 79.439
129.638672, 79.429
130.004883, 79.419
130.371094, 79.409
130.737305, 79.398
131.103516, 79.387
131.469727, 79.376
131.835938, 79.364
132.202148, 79.353
132.568359, 79.341
132.934570, 79.329
133.300781, 79.317
133.666992, 79.305
134.033203, 79.292
134.399414, 79.279
134.765625, 79.266
135.131836, 79.253
135.498047, 79.240
135.864258, 79.226
136.230469, 79.213
136.596680, 79.199
136.962891, 79.186
137.329102, 79.172
137.695312, 79.158
138.061523, 79.145
138.427734, 79.131
138.793945, 79.118
139.160156, 79.104
139.526367, 79.091
139.892578, 79.077
140.258789, 79.064
140.625000, 79.051
140.991211, 79.037
141.357422, 79.024
141.723633, 79.011
142.089844, 78.998
142.456055, 78.985
142.822266, 78.972
143.188477, 78.958
143.554688, 78.945
143.920898, 78.932
144.287109, 78.918
144.653320, 78.905
145.019531, 78.892
145.385742, 78.878
145.751953, 78.864
146.118164, 78.851
146.484375, 78.837
146.850586, 78.823
147.216797, 78.809
147.583008, 78.795
147.949219, 78.782
148.315430, 78.768
148.681641, 78.753
149.047852, 78.739
149.414062, 78.725
149.780273, 78.711
150.146484, 78.697
150.512695, 78.683
150.878906, 78.668
151.245117, 78.654
151.611328, 78.640
151.977539, 78.625
152.343750, 78.611
152.709961, 78.597
153.076172, 78.583
153.442383, 78.569
153.808594, 78.555
154.174805, 78.541
154.541016, 78.527
154.907227, 78.513
155.273438, 78.499
155.639648, 78.485
156.005859, 78.471
156.372070, 78.457
156.738281, 78.443
157.104492, 78.429
157.470703, 78.415
157.836914, 78.401
158.203125, 78.387
158.569336, 78.373
158.935547, 78.359
159.301758, 78.345
159.667969, 78.331
160.034180, 78.317
160.400391, 78.303
160.766602, 78.289
161.132812, 78.275
161.499023, 78.261
161.865234, 78.247
162.231445, 78.234
162.597656, 78.220
162.963867, 78.206
163.330078, 78.193
163.696289, 78.179
164.062500, 78.166
164.428711, 78.152
164.794922, 78.139
165.161133, 78.126
165.527344, 78.113
165.893555, 78.100
166.259766, 78.087
166.625977, 78.074
166.992188, 78.061
167.358398, 78.049
167.724609, 78.036
168.090820, 78.024
168.457031, 78.011
168.823242, 77.999
169.189453, 77.986
169.555664, 77.974
169.921875, 77.962
170.288086, 77.950
170.654297, 77.938
171.020508, 77.926
171.386719, 77.914
171.752930, 77.902
172.119141, 77.891
172.485352, 77.879
172.851562, 77.867
173.217773, 77.856
173.583984, 77.845
173.950195, 77.833
174.316406, 77.822
174.682617, 77.811
175.048828, 77.800
175.415039, 77.789
175.781250, 77.778
176.147461, 77.767
176.513672, 77.757
176.879883, 77.746
177.246094, 77.736
177.612305, 77.726
177.978516, 77.717
178.344727, 77.707
178.710938, 77.698
179.077148, 77.688
179.443359, 77.679
179.809570, 77.670
180.175781, 77.662
180.541992, 77.653
180.908203, 77.645
181.274414, 77.637
181.640625, 77.628
182.006836, 77.621
182.373047, 77.613
182.739258, 77.605
183.105469, 77.598
183.471680, 77.590
183.837891, 77.583
184.204102, 77.576
184.570312, 77.569
184.936523, 77.562
185.302734, 77.555
185.668945, 77.549
186.035156, 77.542
186.401367, 77.536
186.767578, 77.529
187.133789, 77.523
187.500000, 77.517
187.866211, 77.511
188.232422, 77.506
188.598633, 77.500
188.964844, 77.495
189.331055, 77.490
189.697266, 77.484
190.063477, 77.480
190.429688, 77.475
190.795898, 77.470
191.162109, 77.466
191.528320, 77.462
191.894531, 77.458
192.260742, 77.454
192.626953, 77.450
192.993164, 77.447
193.359375, 77.443
193.725586, 77.440
194.091797, 77.438
194.458008, 77.435
194.824219, 77.432
195.190430, 77.430
195.556641, 77.428
