* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15, Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25
* Dated: Jan 12, 2025 7:46:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15, Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25
* Measurement: Right Ear 25 Seats
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
111.367045, 94.655
111.703501, 94.656
112.039958, 94.656
112.376414, 94.657
112.712870, 94.657
113.049327, 94.657
113.385783, 94.657
113.722239, 94.656
114.058696, 94.656
114.395152, 94.655
114.731608, 94.655
115.068065, 94.654
115.404521, 94.653
115.740977, 94.652
116.077434, 94.651
116.413890, 94.650
116.750346, 94.648
117.086803, 94.647
117.423259, 94.645
117.759715, 94.644
118.096171, 94.642
118.432628, 94.640
118.769084, 94.638
119.105540, 94.637
119.441997, 94.635
119.778453, 94.633
120.114909, 94.631
120.451366, 94.629
120.787822, 94.628
121.124278, 94.626
121.460735, 94.624
121.797191, 94.622
122.133647, 94.621
122.470104, 94.619
122.806560, 94.617
123.143016, 94.615
123.479473, 94.613
123.815929, 94.611
124.152385, 94.609
124.488842, 94.606
124.825298, 94.604
125.161754, 94.602
125.498211, 94.599
125.834667, 94.597
126.171123, 94.594
126.507580, 94.592
126.844036, 94.589
127.180492, 94.586
127.516949, 94.584
127.853405, 94.581
128.189861, 94.578
128.526318, 94.575
128.862774, 94.572
129.199230, 94.570
129.535687, 94.567
129.872143, 94.564
130.208599, 94.561
130.545056, 94.558
130.881512, 94.555
131.217968, 94.552
131.554425, 94.548
131.890881, 94.545
132.227337, 94.542
132.563794, 94.539
132.900250, 94.535
133.236706, 94.532
133.573163, 94.529
133.909619, 94.525
134.246075, 94.522
134.582532, 94.518
134.918988, 94.515
135.255444, 94.512
135.591901, 94.508
135.928357, 94.504
136.264813, 94.501
136.601270, 94.497
136.937726, 94.494
137.274182, 94.490
137.610639, 94.487
137.947095, 94.483
138.283551, 94.480
138.620008, 94.476
138.956464, 94.472
139.292920, 94.469
139.629377, 94.465
139.965833, 94.462
140.302289, 94.458
140.638746, 94.454
140.975202, 94.451
141.311658, 94.447
141.648115, 94.443
141.984571, 94.440
142.321027, 94.436
142.657483, 94.432
142.993940, 94.428
143.330396, 94.425
143.666852, 94.421
144.003309, 94.417
144.339765, 94.413
144.676221, 94.409
145.012678, 94.405
145.349134, 94.401
145.685590, 94.398
146.022047, 94.394
146.358503, 94.390
146.694959, 94.386
147.031416, 94.382
147.367872, 94.378
147.704328, 94.374
148.040785, 94.369
148.377241, 94.365
148.713697, 94.361
149.050154, 94.357
149.386610, 94.353
149.723066, 94.349
150.059523, 94.345
150.395979, 94.341
150.732435, 94.337
151.068892, 94.332
151.405348, 94.328
151.741804, 94.324
152.078261, 94.320
152.414717, 94.316
152.751173, 94.311
153.087630, 94.307
153.424086, 94.303
153.760542, 94.298
154.096999, 94.294
154.433455, 94.290
154.769911, 94.285
155.106368, 94.281
155.442824, 94.277
155.779280, 94.272
156.115737, 94.268
156.452193, 94.263
156.788649, 94.259
157.125106, 94.254
157.461562, 94.250
157.798018, 94.245
158.134475, 94.240
158.470931, 94.236
158.807387, 94.231
159.143844, 94.226
159.480300, 94.222
159.816756, 94.217
160.153213, 94.212
160.489669, 94.207
160.826125, 94.203
161.162582, 94.198
161.499038, 94.193
161.835494, 94.188
162.171951, 94.183
162.508407, 94.178
162.844863, 94.173
163.181320, 94.168
163.517776, 94.163
163.854232, 94.158
164.190689, 94.153
164.527145, 94.148
164.863601, 94.143
165.200058, 94.138
165.536514, 94.133
165.872970, 94.128
166.209426, 94.122
166.545883, 94.117
166.882339, 94.112
167.218795, 94.106
167.555252, 94.101
167.891708, 94.095
168.228164, 94.090
168.564621, 94.084
168.901077, 94.079
169.237533, 94.073
169.573990, 94.068
169.910446, 94.062
170.246902, 94.056
170.583359, 94.051
170.919815, 94.045
171.256271, 94.039
171.592728, 94.034
171.929184, 94.028
172.265640, 94.022
172.602097, 94.017
172.938553, 94.011
173.275009, 94.005
173.611466, 93.999
173.947922, 93.994
174.284378, 93.988
174.620835, 93.982
174.957291, 93.977
175.293747, 93.971
175.630204, 93.965
175.966660, 93.960
176.303116, 93.954
176.639573, 93.948
176.976029, 93.943
177.312485, 93.937
177.648942, 93.932
177.985398, 93.926
178.321854, 93.920
178.658311, 93.915
178.994767, 93.909
179.331223, 93.904
179.667680, 93.898
180.004136, 93.893
180.340592, 93.887
180.677049, 93.882
181.013505, 93.876
181.349961, 93.871
181.686418, 93.865
182.022874, 93.860
182.359330, 93.854
182.695787, 93.849
183.032243, 93.843
183.368699, 93.838
183.705156, 93.832
184.041612, 93.827
184.378068, 93.822
184.714525, 93.816
185.050981, 93.811
185.387437, 93.805
185.723894, 93.800
186.060350, 93.795
186.396806, 93.789
186.733263, 93.784
187.069719, 93.778
187.406175, 93.773
187.742632, 93.768
188.079088, 93.762
188.415544, 93.757
188.752001, 93.751
189.088457, 93.746
189.424913, 93.741
189.761369, 93.735
190.097826, 93.730
190.434282, 93.725
190.770738, 93.719
191.107195, 93.714
191.443651, 93.708
191.780107, 93.703
192.116564, 93.698
192.453020, 93.692
192.789476, 93.687
193.125933, 93.682
193.462389, 93.676
193.798845, 93.671
194.135302, 93.665
194.471758, 93.660
194.808214, 93.654
195.144671, 93.649
195.481127, 93.644
195.817583, 93.638
196.154040, 93.633
196.490496, 93.627
196.826952, 93.622
197.163409, 93.616
197.499865, 93.611
197.836321, 93.605
198.172778, 93.600
198.509234, 93.594
198.845690, 93.589
199.182147, 93.583
199.518603, 93.577
199.855059, 93.572
200.191516, 93.566
200.527972, 93.561
200.864428, 93.555
201.200885, 93.550
201.537341, 93.544
201.873797, 93.538
202.210254, 93.533
202.546710, 93.527
202.883166, 93.522
203.219623, 93.516
203.556079, 93.510
203.892535, 93.505
204.228992, 93.499
204.565448, 93.493
204.901904, 93.488
205.238361, 93.482
205.574817, 93.476
205.911273, 93.471
206.247730, 93.465
206.584186, 93.459
206.920642, 93.454
207.257099, 93.448
